gamesPlayed,goals,assists,points,penaltyMinutes,class
2,0,0,0,0,Goalie
4,0,1,1,23,Defense
5,1,2,3,0,Defense
5,2,0,2,9,Defense
4,0,0,0,3,Forward
5,0,1,1,0,Forward
5,0,0,0,0,Goalie
4,1,0,1,6,Forward
3,0,0,0,12,Defense
4,0,0,0,0,Forward
3,2,0,2,9,Defense
3,0,0,0,3,Defense
4,0,2,2,0,Defense
5,1,0,1,6,Defense
5,2,1,3,13,Defense
1,0,0,0,0,Forward
3,0,0,0,3,Defense
4,1,2,3,4,Forward
2,0,1,1,0,Defense
5,8,2,10,0,Forward
3,4,0,4,14,Forward
5,0,1,1,12,Forward
3,1,1,2,6,Forward
2,0,0,0,0,Forward
